"grappe","menage","vague","s16aq00","s16aq02","s16aq03","s16aq04","s16aq05","s16aq06","s16aq07","s16aq08","s16aq08_autre","s16aq09a","s16aq09b","s16aq10","s16aq10_autre","s16aq11","s16aq12","s16aq12_autre","s16aq13","s16aq13_autre","s16aq14__0","s16aq14__1","s16aq14__2","s16aq14__3","s16aq14__4","s16aq14__5","s16aq14__6","s16aq14__7","s16aq14a__0","s16aq14a__1","s16aq14b__0","s16aq14b__1","s16aq15","s16aq16","s16aq16_autre","s16aq17","s16aq17_autre","s16aq18","s16aq18_autre","s16aq19","s16aq19_autre","s16aq20","s16aq21","s16aq22","s16aq23","s16aq23_autre","s16aq24a","s16aq24b","s16aq24b_autre","s16aq25","s16aq26","s16aq27","s16aq28","s16aq29a1","s16aq29a2","s16aq29a2_autre","s16aq29b1","s16aq29b2","s16aq29b2_autre","s16aq29c1","s16aq29c2","s16aq29c2_autre","s16aq29d1","s16aq29d2","s16aq29d2_autre","s16aq30","s16aq31a1","s16aq31a2","s16aq31b1","s16aq31b2","s16aq31c1","s16aq31c2","s16aq31d1","s16aq31d2","s16aq32","s16aq33b_1","s16aq33a_1","s16aq33b_2","s16aq33a_2","s16aq33b_3","s16aq33a_3","s16aq33b_4","s16aq33a_4","s16aq33b_5","s16aq33a_5","s16aq33b_6","s16aq33a_6","s16aq33b_7","s16aq33a_7","s16aq33b_8","s16aq33a_8","s16aq33b_9","s16aq33a_9","s16aq33b_10","s16aq33a_10","s16aq33b_11","s16aq33a_11","s16aq33b_12","s16aq33a_12","s16aq33b_13","s16aq33a_13","s16aq33b_14","s16aq33a_14","s16aq33b_15","s16aq33a_15","s16aq33b_16","s16aq33a_16","s16aq33b_17","s16aq33a_17","s16aq33b_18","s16aq33a_18","s16aq33b_19","s16aq33a_19","s16aq33b_20","s16aq33a_20","s16aq33b_21","s16aq33a_21","s16aq33b_22","s16aq33a_22","s16aq33b_23","s16aq33a_23","s16aq33b_24","s16aq33a_24","s16aq34","s16aq35b_1","s16aq35a_1","s16aq35b_2","s16aq35a_2","s16aq35b_3","s16aq35a_3","s16aq35b_4","s16aq35a_4","s16aq35b_5","s16aq35a_5","s16aq35b_6","s16aq35a_6","s16aq35b_7","s16aq35a_7","s16aq35b_8","s16aq35a_8","s16aq35b_9","s16aq35a_9","s16aq35b_10","s16aq35a_10","s16aq35b_11","s16aq35a_11","s16aq35b_12","s16aq35a_12","s16aq35b_13","s16aq35a_13","s16aq35b_14","s16aq35a_14","s16aq35b_15","s16aq35a_15","s16aq35b_16","s16aq35a_16","s16aq35b_17","s16aq35a_17","s16aq35b_18","s16aq35a_18","s16aq35b_19","s16aq35a_19","s16aq35b_20","s16aq35a_20","s16aq35b_21","s16aq35a_21","s16aq35b_22","s16aq35a_22","s16aq35b_23","s16aq35a_23","s16aq35b_24","s16aq35a_24","s16aq35b_25","s16aq35a_25","s16aq35b_26","s16aq35a_26","s16aq35b_27","s16aq35a_27","s16aq35b_28","s16aq35a_28","s16aq36","s16aq37b_1","s16aq37a_1","s16aq37b_2","s16aq37a_2","s16aq37b_3","s16aq37a_3","s16aq37b_4","s16aq37a_4","s16aq37b_5","s16aq37a_5","s16aq37b_6","s16aq37a_6","s16aq37b_7","s16aq37a_7","s16aq37b_8","s16aq37a_8","s16aq37b_9","s16aq37a_9","s16aq37b_10","s16aq37a_10","s16aq37b_11","s16aq37a_11","s16aq37b_12","s16aq37a_12","s16aq37b_13","s16aq37a_13","s16aq37b_14","s16aq37a_14","s16aq37b_15","s16aq37a_15","s16aq37b_16","s16aq37a_16","s16aq37b_17","s16aq37a_17","s16aq37b_18","s16aq37a_18","s16aq37b_19","s16aq37a_19","s16aq37b_20","s16aq37a_20","s16aq37b_21","s16aq37a_21","s16aq37b_22","s16aq37a_22","s16aq37b_23","s16aq37a_23","s16aq37b_24","s16aq37a_24","s16aq37b_25","s16aq37a_25","s16aq37b_26","s16aq37a_26","s16aq37b_27","s16aq37a_27","s16aq37b_28","s16aq37a_28","s16aq37b_29","s16aq37a_29","s16aq37b_30","s16aq37a_30","s16aq37b_31","s16aq37a_31","s16aq37b_32","s16aq37a_32","s16aq37b_33","s16aq37a_33","s16aq38","s16aq39a_1","s16aq39b_1","s16aq39c_1","s16aq39a_2","s16aq39b_2","s16aq39c_2","s16aq39a_3","s16aq39b_3","s16aq39c_3","s16aq39a_4","s16aq39b_4","s16aq39c_4","s16aq40","s16aq41a_1","s16aq41b_1","s16aq41c_1","s16aq41a_2","s16aq41b_2","s16aq41c_2","s16aq41a_3","s16aq41b_3","s16aq41c_3","s16aq41a_4","s16aq41b_4","s16aq41c_4","s16aq42","s16aq43a_1","s16aq43b_1","s16aq43c_1","s16aq43a_2","s16aq43b_2","s16aq43c_2","s16aq43a_3","s16aq43b_3","s16aq43c_3","s16aq43a_4","s16aq43b_4","s16aq43c_4","s16aq44","s16aq45","s16aq47","s16aq48","s16aq48_autre"
435,2,2,1,2,1,1,1,1,1,10,,1,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,2,120,1,1,,98,,,2,,2,,,,,,,,,,,,,,1,0,,0,,4,4,0,,1,15,1,15,2,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,1,30,2,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,1,15,2,15,4,15,6,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,2,,3,
435,2,2,1,1,2,1,2,,1,10,,1,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,1,30,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,0,,4,4,0,,1,15,1,15,2,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,1,15,2,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,1,15,2,15,6,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,2,,2,
435,2,2,1,1,1,1,2,,1,4,,4,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,1,30,2,,,,,,2,,1,1,1,3,,0,,,2,3,,0,,,1,0,,0,,10,4,0,,1,15,1,15,2,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,1,30,2,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,1,15,2,15,4,15,6,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,2,,2,
435,3,2,1,1,2,1,2,,1,4,,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,4,,3,,2,,3,90,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,0,,4,4,0,,1,4,1,4,6,3,7,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,5,6,5,7,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,2,3,4,3,6,3,7,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,2,,5,"RTE IMPRACTICABLE SAISON DES PLUIES"
435,3,2,1,1,1,1,2,,1,10,,1,1,1,,1,5,"PROPRE EXPLOITATION",7,,,,,,,,,,,,,,2,,,4,,3,,2,,3,90,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,0,,8,4,0,,1,7,1,7,6,7,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,7,6,7,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,2,3,4,3,6,3,7,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,2,,5,"RTE IMPRACTICABLE SAISON DES PLUIES"
435,4,2,1,3,1,1,1,13,1,43,,1,1,1,,13,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,1,15,2,,,,,,2,,1,2,2,3,,0,,,2,3,,0,,,1,0,,0,,5,4,0,,1,10,2,10,3,10,4,10,6,10,8,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,2,14,3,14,4,14,6,14,8,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,2,30,3,30,4,30,5,30,6,30,8,30,9,30,11,30,13,30,14,30,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,1.1238,,
435,4,2,1,4,1,13,1,13,1,3,,1,1,1,,13,2,,7,,,,,,,,,,,,,,2,,,4,,2,,2,,1,25,2,,,,,,2,,1,1,1,3,,0,,,4,3,,0,,,1,0,,0,,5,4,0,,1,2,2,2,3,2,4,2,6,2,8,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,7,2,7,3,7,4,7,6,7,8,7,9,7,11,7,13,7,14,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,2,14,3,14,4,14,5,14,6,14,8,14,9,14,11,14,13,14,14,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,4,2,,4,
435,4,2,1,3,2,13,1,13,1,10,,100,2,1,,13,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,1,10,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,0,,4,4,0,,1,10,2,10,3,10,4,10,6,10,8,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,2,14,3,14,4,14,6,14,8,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,2,14,3,14,4,14,5,14,6,14,8,14,9,14,11,14,13,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,0.75,,
435,4,2,1,1,3,1,1,1,1,4,,2,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,1,15,2,,,,,,2,,1,1,0,,,0,,,1,3,,0,,,1,0,,0,,3,4,0,,1,3,1,3,2,3,3,3,4,3,6,3,8,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,3,2,4,2,6,2,8,3,13,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3,4,2,6,2,8,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,2.9441,,
435,5,2,1,1,2,3,1,3,1,10,,1.25,1,2,,,,,,,,,,,,,,,,,,,,,,4,,1,,2,,2,10,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,0,,14,4,0,,1,7,1,10,2,10,3,7,4,7,5,7,6,5,7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,1,21,2,30,3,10,4,10,5,10,6,10,7,5,8,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,1,10,2,10,3,10,4,10,5,10,6,10,7,5,8,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,1.21,,
435,5,2,1,1,1,1,1,1,1,10,,1,1,1,,1,5,"propre exploitation",7,,,,,,,,,,,,,,1,4,,4,,3,,2,,2,10,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,0,,14,4,0,,1,10,1,10,2,5,3,4,4,5,5,5,6,5,7,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,1,30,2,10,3,30,4,15,5,15,6,15,7,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,1,10,2,10,3,10,4,5,5,5,6,5,7,5,8,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,0.89,,
435,5,2,1,1,3,1,2,,1,4,,0.75,1,1,,1,5,"propre exploitation",7,,,,,,,,,,,,,,1,4,,4,,3,,2,,2,10,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,0,,7,4,0,,1,7,1,7,2,7,4,5,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,1,15,2,15,4,15,5,15,6,10,7,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,7,2,3,3,4,4,3,5,3,6,3,7,3,8,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,0.69,,
435,7,2,1,1,1,1,2,,1,10,,1.26,1,1,,,,,,,,,,,,,,,,,,,,,,4,,3,,2,,3,30,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,0,,8,4,0,,1,7,1,7,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,1,15,5,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,1,15,2,15,5,15,6,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,1.26,,
435,7,2,1,1,2,1,2,,1,4,,1.06,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,2,30,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,0,,4,4,0,,1,8,1,8,5,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,1,10,5,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,7,2,7,5,7,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,2,1,0,3,1,0,0,,,0,,,3,1,1.06,,
435,8,2,1,1,1,1,2,,1,10,,1.5,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,2,120,1,1,,98,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,30,1,30,2,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,1,60,2,60,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,1,30,2,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,1.6971,,
435,9,2,1,1,1,7,2,,1,4,,1,1,1,,7,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,2,60,1,1,,98,,,2,,1,1,2,3,,0,,,0,,,0,,,2,,,,,,,,,1,10,4,10,5,10,7,10,8,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,4,20,5,20,7,10,8,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,4,10,5,10,6,10,7,10,8,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,2,,2,
435,9,2,1,2,1,1,2,,1,10,,1,1,1,,7,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,1,60,1,1,,98,,,2,,1,1,1,3,,0,,,0,,,0,,,2,,,,,,,,,1,20,4,20,5,10,7,10,8,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,3,20,4,20,5,10,6,20,7,10,8,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,3,10,4,10,5,10,6,10,7,10,8,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,0.8652,,
435,10,2,1,2,1,11,1,11,1,10,,1,1,1,,11,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,1,10,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,0,,6,4,0,,1,25,3,25,4,25,8,25,9,25,11,25,17,25,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,1.6113,,
435,10,2,1,3,1,11,1,11,1,3,,100,2,1,,11,2,,7,,,,,,,,,,,,,,2,,,4,,2,,2,,1,25,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,0,,3,4,0,,1,7,2,5,3,5,4,7,5,5,8,5,9,7,11,7,12,7,16,5,17,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,2,14,3,14,4,14,5,14,8,14,9,14,11,14,12,14,16,14,17,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,7,3,7,4,7,5,7,8,7,9,7,11,7,12,7,16,7,17,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,4,2,,4,
435,10,2,1,1,1,11,1,11,1,4,,1,1,1,,11,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,1,0,2,,,,,,1,10,2,,,,,,,,,,,,,,1,0,,0,,6,4,0,,1,10,9,3,11,10,17,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,2,30,3,30,4,30,8,30,9,30,11,30,17,30,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,2,15,3,15,4,15,5,15,8,15,9,15,11,15,12,15,17,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,4,1,1.4114,,
435,11,2,1,1,1,1,2,,1,3,,2,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,2,10,1,1,,98,,,2,,2,,,,,,,,,,,,,,1,0,,0,,6,4,0,,1,15,1,15,2,15,4,15,6,15,11,15,13,15,16,15,20,15,22,15,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,1,30,2,15,3,15,4,15,6,30,11,15,13,30,16,30,20,15,22,15,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,1,15,2,15,3,15,4,15,6,15,11,15,13,15,16,15,20,15,22,10,23,15,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,2.1432,,
435,11,2,1,2,1,1,2,,1,4,,4,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,2,10,1,1,,98,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,15,1,15,2,15,3,15,4,15,6,15,11,15,13,15,16,15,20,15,22,15,38,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,1,30,2,15,3,15,4,15,6,30,11,15,13,30,16,30,20,15,22,10,23,15,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,1,15,2,15,3,15,4,15,6,15,11,15,13,15,16,15,20,15,22,10,23,15,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,4.5506,,
435,11,2,1,3,1,1,2,,1,10,,1.5,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,2,10,1,1,,98,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,15,1,15,2,15,3,15,4,15,6,15,11,15,13,15,16,15,20,15,22,15,23,15,38,,,,,,,,,,,,,,,,,,,,,,,,,1,30,1,30,2,15,3,15,4,15,6,30,11,15,13,15,16,15,20,15,22,15,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,1,15,2,15,3,10,4,10,6,10,11,10,13,10,16,10,20,10,22,10,23,10,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,1.8472,,
435,12,2,1,1,1,1,1,1,1,4,,50,2,2,,,,,,,,,,,,,,,,,,,,,,4,,3,,2,,1,0,1,1,,9999,10,"parcarge direct",2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,2,7,10000,0,,,0,,,0,,,3,1,0.35,,
435,13,2,1,1,2,3,2,,1,43,,1,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,1,10,2,,,,,,2,,1,1,1,3,,0,,,2,3,,0,,,1,3,4,0,,5,4,0,,1,14,3,14,5,14,6,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,2,14,3,14,4,14,5,14,6,14,7,14,9,14,10,14,11,14,12,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,2,11,3,14,4,14,5,14,6,14,7,14,9,14,10,14,11,14,12,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,4,1,2.054,,
435,13,2,1,1,3,1,2,,1,10,,1,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,1,10,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,0,,4,4,0,,1,14,3,14,5,14,6,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,3,14,5,14,6,14,7,14,9,14,10,14,11,14,12,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,4,1,1.9529,,
435,13,2,1,1,4,1,2,,1,4,,100,2,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,1,10,2,,,,,,2,,1,1,1,3,,0,,,1,3,,0,,,1,0,,0,,2,4,0,,1,7,3,7,5,7,6,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,3,14,5,14,6,14,7,14,9,14,10,14,11,14,12,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,7,3,7,4,7,5,7,6,7,7,7,9,7,10,7,11,7,12,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,4,1,0.7547,,
435,13,2,1,1,1,5,2,,1,4,,1,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,3,,2,,1,10,2,,,,,,2,,1,1,1,3,,0,,,0,,,0,,,1,0,,0,,6,4,0,,1,7,3,7,5,7,6,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,3,14,5,14,6,14,7,14,9,14,10,14,11,14,12,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,1,14,2,14,3,14,4,14,5,14,6,14,7,14,9,14,10,14,11,14,12,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,1,1.2168,,
436,1,1,1,1,1,17,1,17,1,10,,7,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,1,,2,,1,4,1,1,,98,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,45,65000,6,45,65000,0,,,0,,,1,7,60,90000,6,60,90000,0,,,0,,,1,7,30,45000,6,30,45000,0,,,0,,,3,1,7.0021,,
436,1,1,1,2,1,17,1,17,1,1,,6,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,4,,1,,2,,1,6,1,1,,98,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,45,65000,5,45,60000,0,,,0,,,1,6,20,85000,5,60,80000,0,,,0,,,1,6,30,40000,5,30,40000,0,,,0,,,3,1,6.0103,,
