"grappe","s04q00","s04q00_autre","s04q01","s04q02","s04q03","s04q03_autre","s04q04","s04q05_1","s04q05_2","s04q05_3","s04q05_4","s04q05_5","s04q05_6","s04q05_7","s04q05_8","s04q05_9","s04q05_10","s04q05_11","s04q05_12","s04q05_autre","s04q06","s04q07_1","s04q07_2","s04q07_3","s04q07_4","s04q07_5","s04q07_6","s04q07_7","s04q07_8","s04q07_autre","s04q08","s04q09_1","s04q09_2","s04q09_3","s04q09_4","s04q09_5","s04q09_6"
598,8,,1,1,13,"conseiller municipal du secteur",1,2,2,2,2,2,2,2,2,1,2,2,1,"les autorites municipales",1,2,1,2,2,2,2,2,2,,1,2,2,2,2,2,2
598,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,11,,1,1,13,"conseiller municipal du secteur",1,2,2,2,2,2,2,2,2,1,2,2,1,"les autorites municipales",1,2,1,2,2,2,2,2,2,,1,2,2,2,2,2,2
598,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,18,"construction de caniveaux",1,1,13,"conseiller municipal du secteur",1,2,2,2,2,2,2,2,2,1,2,2,1,"les autorites municipales",1,2,1,2,2,2,2,2,2,,1,2,2,1,2,2,2
599,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2,,1,1,13,"conseiller municipal du secteur",2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,1
599,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,6,,1,1,13,"conseiller municipal du secteur",1,2,2,2,2,2,2,2,2,1,2,2,1,"conseiller municipal du secteur",1,2,1,2,2,2,2,2,2,,1,2,2,1,2,2,2
599,7,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,11,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,12,,1,1,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2
599,13,,1,1,10,,1,1,2,2,2,2,2,2,2,1,2,2,1,"les representants de la banque mondiale",1,2,2,2,2,2,2,2,1,"la banque mondiale",,2,2,1,2,2,2
599,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,10,,1,1,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
600,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,18,"fosses",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,4,,1,1,1,,1,2,2,2,2,2,2,2,2,2,2,2,1,"les habitants du secteur",1,2,2,2,2,2,2,2,1,"cotisations des habitants du secteur",,2,1,2,2,2,1
601,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
