"grappe","menage","vague","s13q00","s13q01","s13q02","s13q03","s13q04","s13q05","s13q06","s13q07","s13q08","s13q09"
30,16,2,1,2,,2,,2,1,1,2,1
30,17,2,1,1,1,2,,2,2,2,2,1
31,1,1,1,2,,2,,2,2,2,2,0
31,2,1,7,2,,2,,2,1,2,1,1
31,3,1,2,2,,2,,2,1,2,1,1
31,4,1,2,1,2,2,,2,2,2,2,0
31,5,1,6,2,,2,,2,2,2,2,0
31,6,1,1,1,2,1,1,2,2,2,2,1
31,8,1,1,2,,1,2,1,2,2,2,1
31,9,1,1,2,,2,,2,2,2,2,0
31,11,1,1,1,1,2,,1,2,2,2,1
31,13,1,1,1,2,2,,2,2,2,2,0
31,14,1,3,1,1,2,,2,2,2,2,1
31,15,1,1,2,,2,,2,2,1,1,1
32,2,2,1,2,,2,,2,2,2,2,0
32,3,2,5,1,1,2,,2,1,2,2,1
32,4,2,3,1,1,2,,2,2,2,2,1
32,5,2,1,1,1,2,,2,2,2,2,1
32,6,2,1,2,,2,,2,2,2,2,0
32,7,2,1,2,,2,,2,1,2,2,1
32,8,2,3,2,,1,2,1,1,1,1,1
32,9,2,7,2,,2,,1,1,2,2,1
32,10,2,2,1,1,2,,2,1,2,2,1
32,11,2,1,2,,1,2,2,2,2,2,0
32,12,2,2,1,2,1,2,2,2,2,2,0
32,13,2,1,2,,2,,2,1,1,2,1
33,1,1,9,1,2,1,2,1,2,2,2,1
33,2,1,2,1,1,1,2,1,2,2,2,1
33,3,1,2,1,1,1,2,1,2,2,2,1
33,4,1,4,2,,2,,2,2,2,2,0
33,5,1,2,2,,2,,2,2,2,2,0
33,6,1,1,1,1,2,,2,2,2,2,1
33,7,1,1,1,2,1,2,2,2,2,2,0
33,9,1,1,2,,1,1,1,2,2,2,1
33,10,1,6,2,,1,1,2,2,1,1,1
33,11,1,1,1,1,2,,1,2,2,1,1
33,13,1,1,2,,2,,2,2,1,1,1
33,14,1,2,1,2,2,,2,2,2,2,0
34,1,2,1,1,1,2,,2,2,2,1,1
34,2,2,2,1,1,2,,1,2,2,2,1
34,3,2,1,1,1,2,,2,2,2,2,1
34,4,2,2,2,,2,,2,1,1,2,1
34,5,2,1,1,1,1,1,1,2,2,2,1
34,6,2,1,1,1,2,,1,2,1,1,1
34,7,2,1,2,,2,,2,1,2,2,1
34,8,2,9,2,,1,2,2,1,1,1,1
34,11,2,1,2,,2,,2,2,1,2,1
34,12,2,1,1,1,2,,2,2,2,2,1
34,13,2,1,2,,2,,2,2,1,2,1
34,14,2,1,1,1,2,,2,1,1,2,1
35,1,1,1,1,2,2,,2,2,2,2,0
35,2,1,1,2,,2,,2,1,1,2,1
35,3,1,1,2,,2,,2,2,2,2,0
35,5,1,5,2,,2,,2,2,2,2,0
35,6,1,7,2,,2,,2,2,1,2,1
35,9,1,1,2,,2,,2,1,2,2,1
