"grappe","menage","vague","s20bq02","s20bq02a","s20bq02b"
12,3,2,5,1,4
12,3,2,2,1,3
12,3,2,7,1,2
12,3,2,3,1,3
12,3,2,9,1,3
12,3,2,4,1,2
12,3,2,8,1,3
12,5,2,4,1,3
12,5,2,3,1,3
12,5,2,6,1,1
12,5,2,1,1,3
12,5,2,7,1,1
12,5,2,2,1,3
12,5,2,8,1,2
12,5,2,9,1,2
12,5,2,5,1,3
12,6,2,6,1,2
12,6,2,4,1,2
12,6,2,9,1,3
12,6,2,1,1,2
12,6,2,3,1,2
12,6,2,5,1,2
12,6,2,7,1,1
12,6,2,2,1,2
12,6,2,8,1,2
12,7,2,2,1,2
12,7,2,8,2,1
12,7,2,5,1,3
12,7,2,3,1,2
12,7,2,9,1,2
12,7,2,7,1,1
12,7,2,6,1,3
12,7,2,1,1,1
12,7,2,4,1,2
12,8,2,4,1,3
12,8,2,2,1,2
12,8,2,3,1,2
12,8,2,1,1,3
12,8,2,6,1,1
12,8,2,9,1,1
12,8,2,5,1,2
12,8,2,8,1,2
12,8,2,7,1,1
12,9,2,5,1,3
12,9,2,2,2,3
12,9,2,3,1,3
12,9,2,9,1,3
12,9,2,6,1,2
12,9,2,1,1,3
12,9,2,7,1,2
12,9,2,8,1,2
12,9,2,4,1,2
12,11,2,5,2,1
12,11,2,4,2,2
12,11,2,6,2,4
12,11,2,2,1,3
12,11,2,3,1,3
12,11,2,9,1,2
12,11,2,1,1,3
12,11,2,7,1,1
12,11,2,8,2,2
12,13,2,3,1,3
12,13,2,1,1,3
12,13,2,7,1,1
12,13,2,6,1,1
12,13,2,5,1,2
12,13,2,4,1,2
12,13,2,9,1,4
12,13,2,2,1,3
12,13,2,8,1,1
12,14,2,3,1,1
12,14,2,2,1,1
12,14,2,9,1,2
12,14,2,4,2,2
12,14,2,7,1,2
12,14,2,1,1,1
12,14,2,5,1,2
12,14,2,6,2,3
12,14,2,8,1,3
12,15,2,2,1,3
12,15,2,8,1,2
12,15,2,5,1,3
12,15,2,6,1,3
12,15,2,7,1,1
12,15,2,1,1,3
12,15,2,3,2,4
12,15,2,9,1,3
12,15,2,4,1,2
13,1,1,3,1,2
13,1,1,1,1,2
13,1,1,2,1,1
13,1,1,7,1,1
13,1,1,6,1,1
13,1,1,4,1,1
13,1,1,9,1,2
13,1,1,8,1,1
13,1,1,5,1,3
13,3,1,9,1,1
13,3,1,6,1,1
13,3,1,3,1,2
13,3,1,7,1,1
13,3,1,1,1,2
13,3,1,8,1,1
13,3,1,2,1,2
13,3,1,4,1,1
13,3,1,5,1,3
13,6,1,3,1,4
13,6,1,4,1,2
13,6,1,7,1,1
