"country","hhid","year","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"GNB",12232101,2021,122321,1,1,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.00200000009499,75,7,10,0,30,1,1,0,1,0,0
"GNB",12232102,2021,122321,2,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.00030000001425,0,2,15,0,17,0,1,0,1,0,0
"GNB",12232103,2021,122321,3,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00101999996695668,8,6,2,0,25,0,1,1,0,0,0
"GNB",12232104,2021,122321,4,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"GNB",12232105,2021,122321,5,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.00252800015733,3,2,4,0,6,1,1,0,1,0,0
"GNB",12232106,2021,122321,6,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,22,0,15,0,1,1,0,0,0
"GNB",12232107,2021,122321,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,8,0,3,0,1,1,0,0,0
"GNB",12232108,2021,122321,8,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05000000074506,0,1,9,0,15,0,0,1,1,0,0
"GNB",12232109,2021,122321,9,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,5,0,6,0,30,0,1,1,0,0,0
"GNB",12232201,2021,122322,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,7,0,7,1,1,1,1,0,0
"GNB",12232202,2021,122322,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05309999920428,5,2,2,0,13,0,1,1,1,1,0
"GNB",12232203,2021,122322,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,42,0,1,1,0,1,0
"GNB",12232204,2021,122322,4,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0,0,0,1,1,1,0,0
"GNB",12232205,2021,122322,5,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0010000000475,1,9,2,0,6,1,1,1,1,0,0
"GNB",12232206,2021,122322,6,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,1,1,1,1,1,0
"GNB",12232207,2021,122322,7,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.00249999994412,20,17,4,0,30,0,1,1,1,1,0
"GNB",12232208,2021,122322,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00699999998324,0,2,1,0,21,1,0,0,1,0,0
"GNB",12232209,2021,122322,9,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0
"GNB",12232401,2021,122324,1,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.00159999995958,4,1,2,0,0,0,1,1,0,0,0
"GNB",12232402,2021,122324,2,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5,16,5,3,0,18,1,1,1,0,0,0
"GNB",12232403,2021,122324,3,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.02999999932945,10,7,10,0,20,0,1,1,1,0,0
"GNB",12232404,2021,122324,4,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,10,1,1,1,0,0,0
"GNB",12232405,2021,122324,5,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00150000001304,0,5,10,0,29,1,1,0,1,1,0
"GNB",12232406,2021,122324,6,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.00380000006408,10,5,11,0,40,1,1,1,1,0,0
"GNB",12232407,2021,122324,7,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,6,0,20,1,1,1,0,0,0
"GNB",12232408,2021,122324,8,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0
"GNB",12232409,2021,122324,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.501200000057,0,0,3,0,35,0,1,1,0,1,0
"GNB",12232601,2021,122326,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01499999966472,10,11,8,0,20,0,1,1,0,0,0
"GNB",12232602,2021,122326,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.189999999478459,20,15,10,0,30,0,1,1,0,0,0
"GNB",12232603,2021,122326,3,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,4,0,16,0,1,1,0,0,0
"GNB",12232604,2021,122326,4,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,10,10,5,0,14,0,1,0,0,0,0
"GNB",12232605,2021,122326,5,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.50050000002375,13,6,3,0,6,1,1,0,1,0,0
"GNB",12232606,2021,122326,6,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.07999999821186,0,0,0,0,2,0,1,1,1,0,0
"GNB",12232607,2021,122326,7,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.219999998807907,0,0,7,0,35,0,1,1,0,0,0
"GNB",12232608,2021,122326,8,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.01999999955297,0,4,3,0,30,1,1,1,0,0,0
"GNB",12232609,2021,122326,9,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,7,2,0,19,0,1,1,0,0,0
"GNB",12232802,2021,122328,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.6556158065796,20,1,15,0,18,0,1,1,1,1,0
"GNB",12232803,2021,122328,3,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,7,35,36,0,22,1,1,1,1,0,0
"GNB",12232804,2021,122328,4,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.004950000206,10,5,12,0,7,0,1,1,1,0,0
"GNB",12232805,2021,122328,5,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,10,4,0,37,0,1,1,1,0,0
"GNB",12232806,2021,122328,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,15,0,20,0,1,1,1,0,0
"GNB",12232807,2021,122328,7,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,5,3,6,0,11,1,1,1,1,0,0
"GNB",12232808,2021,122328,8,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.2996120452881,1,1,5,0,2,0,1,1,0,0,0
"GNB",12232809,2021,122328,9,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,10,0,18,0,1,0,1,0,0
"GNB",12242101,2021,122421,1,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0485000004991889,0,2,0,0,5,0,1,0,1,0,0
"GNB",12242102,2021,122421,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,20,0,0,1,0,1,0
"GNB",12242103,2021,122421,3,1,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
"GNB",12242104,2021,122421,4,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,17,0,1,1,0,0,0
"GNB",12242106,2021,122421,6,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,9,0,11,1,1,1,0,0,0
"GNB",12242107,2021,122421,7,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,1,0,1,0,0,0
"GNB",12242108,2021,122421,8,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,10,5,0,8,0,1,0,0,0,0
"GNB",12242109,2021,122421,9,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.052000000141561,0,0,6,0,12,0,1,1,0,0,0
"GNB",12242401,2021,122424,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0
"GNB",12242402,2021,122424,2,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0299999993294477,0,5,0,0,14,1,1,0,0,0,0
"GNB",12242403,2021,122424,3,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.025000000372529,0,5,0,0,12,0,0,1,0,1,0
"GNB",12242404,2021,122424,4,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,7,1,0,1,1,0,0
"GNB",12242405,2021,122424,5,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,5,0,0,12,1,1,0,0,0,0
"GNB",12242406,2021,122424,6,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5,0,9,0,0,16,1,1,0,0,0,0
"GNB",12242407,2021,122424,7,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449999989941716,0,4,0,0,14,1,0,0,1,0,0
"GNB",12242408,2021,122424,8,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099999999627471,0,4,0,0,0,0,0,0,1,0,0
"GNB",12242409,2021,122424,9,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,7,0,0,1,0,1,0
"GNB",12242601,2021,122426,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000000372529,0,0,5,0,10,1,1,1,0,0,0
"GNB",12242602,2021,122426,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,0,9,7,0,14,1,0,1,1,0,0
"GNB",12242603,2021,122426,3,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000002980232,0,0,0,0,0,1,0,0,1,0,0
"GNB",12242604,2021,122426,4,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0599999986588955,0,20,0,0,10,0,1,0,1,0,0
